firm,year,sector,region,dim4_firm,y_pivot_5yr,notes
Blockbuster,2004,media-rental,US,1.20,1,"Collapse; bankruptcy 2010"
Sears,2005,retail,US,1.18,1,"Long decline; bankruptcy 2018"
Kodak,1997,imaging,US,1.17,1,"Failed digital transition; bankruptcy 2012"
Polaroid,2001,imaging,US,1.15,1,"Bankruptcy 2001; second bankruptcy 2008"
BlackBerry,2008,mobile,CA,1.16,1,"Lost smartphone dominance (2010–2013)"
Nokia,2007,mobile,FI,1.15,1,"Collapsed after iPhone disruption"
RadioShack,2005,retail-electronics,US,1.14,1,"Bankruptcy 2015"
AOL Time Warner,2002,media,US,1.12,1,"Disastrous merger; breakup by 2009"
HTC,2011,mobile,TW,1.12,1,"Collapsed as Android OEM (2014–2016)"
Intel,2008,semiconductors,US,1.11,1,"Exited handset modems; lost mobile era"
Micron,2018,semiconductors,US,1.10,1,"Exiting consumer SSD/RAM by 2025–2026"
Tower Records,2004,music-retail,US,1.10,1,"Bankruptcy 2006"
Toys R Us,2005,retail,US,1.09,1,"Bankruptcy 2017"
Circuit City,2005,retail-electronics,US,1.08,1,"Bankruptcy 2009"
Hertz,2020,car-rental,US,1.08,1,"Bankruptcy 2020"
Borders,2005,retail-books,US,1.07,1,"Bankruptcy 2011"
Nortel,2005,telecom-equipment,CA,1.06,1,"Bankruptcy 2009"
Palm,2006,mobile,US,1.06,1,"Acquired and killed by HP 2010"
Debenhams,2018,retail,UK,1.06,1,"Liquidated 2021"
Motorola Mobility,2007,mobile,US,1.05,1,"Sold to Google then Lenovo"
Thomas Cook,2018,travel,UK,1.05,1,"Collapsed 2019"
Sun Microsystems,2005,servers,US,1.04,1,"Acquired by Oracle 2010"
Forever 21,2019,apparel,US,1.03,1,"Bankruptcy 2019"
Compaq,1998,PC,US,1.03,1,"Merged into HP 2002; brand erased"
General Electric,2015,conglomerate,US,1.02,1,"Power/finance implosion"
Pier 1 Imports,2019,retail-home,US,1.01,1,"Bankruptcy 2020"
Lehman Brothers,2007,finance,US,1.01,1,"Bankruptcy 2008"
Gap,2020,apparel,US,1.00,1,"Brand erosion; pivot failure"
Enron,2000,energy,US,1.00,1,"Fraud; bankruptcy 2001"
NIO,2024,automotive,CN,1.00,1,"Competition + losses"
Ascena Retail,2020,apparel,US,0.99,1,"Bankruptcy 2020"
MySpace,2008,social-media,US,0.99,1,"Collapsed by 2010"
Nordstrom,2020,retail,US,0.98,1,"Struggling with off-price shift"
AOL,2005,internet,US,0.98,1,"Declined after 2009"
XPeng,2024,automotive,CN,0.98,1,"Competitive pressure"
Netscape,1998,browser,US,0.97,1,"Killed by Internet Explorer"
Vine,2016,social-video,US,0.97,1,"Shutdown 2016"
Sony Ericsson,2010,mobile,JP,0.96,1,"Sony bought out; brand ended"
Friendster,2008,social-media,US,0.96,1,"Collapsed by 2009"
